household_id_1,household_id_2,link_type,timestep
41,8,2.0,0
41,40,2.0,0
41,37,2.0,0
41,19,2.0,0
41,43,2.0,0
41,27,2.0,0
41,46,2.0,0
41,44,2.0,0
41,32,2.0,0
41,38,2.0,0
41,35,2.0,0
41,45,2.0,0
12,49,2.0,0
12,14,2.0,0
12,30,2.0,0
12,16,2.0,0
12,50,2.0,0
12,15,2.0,0
12,35,2.0,0
12,23,2.0,0
8,40,2.0,0
8,4,1.0,0
8,34,2.0,0
8,20,2.0,0
8,13,2.0,0
8,38,2.0,0
8,35,2.0,0
8,23,2.0,0
8,26,2.0,0
40,5,2.0,0
40,20,2.0,0
40,27,2.0,0
40,16,2.0,0
40,28,2.0,0
40,46,2.0,0
40,7,2.0,0
40,32,2.0,0
4,30,2.0,0
4,28,2.0,0
4,23,2.0,0
4,3,2.0,0
4,2,2.0,0
17,49,2.0,0
17,14,2.0,0
17,16,2.0,0
17,9,2.0,0
17,13,2.0,0
17,10,2.0,0
17,7,2.0,0
17,3,2.0,0
17,2,2.0,0
5,37,2.0,0
5,49,2.0,0
5,19,2.0,0
5,7,2.0,0
5,22,1.0,0
37,39,2.0,0
37,28,2.0,0
37,9,2.0,0
37,11,2.0,0
37,10,2.0,0
37,32,2.0,0
37,6,2.0,0
37,23,2.0,0
37,2,2.0,0
34,49,2.0,0
34,19,1.0,0
34,33,2.0,0
34,9,2.0,0
34,48,2.0,0
34,21,2.0,0
34,7,1.0,0
34,26,2.0,0
49,20,2.0,0
49,27,2.0,0
49,30,2.0,0
49,24,2.0,0
49,9,2.0,0
49,48,2.0,0
49,13,2.0,0
49,46,2.0,0
49,50,1.0,0
49,10,1.0,0
49,7,2.0,0
49,32,2.0,0
49,35,2.0,0
49,45,2.0,0
1,25,2.0,0
1,39,2.0,0
1,11,2.0,0
19,33,2.0,0
19,47,2.0,0
19,18,1.0,0
19,36,1.0,0
19,9,2.0,0
19,50,2.0,0
19,32,2.0,0
19,42,2.0,0
20,18,1.0,0
20,27,2.0,0
20,16,2.0,0
20,21,2.0,0
20,15,2.0,0
20,23,2.0,0
20,26,2.0,0
33,43,2.0,0
33,25,2.0,0
33,36,1.0,0
33,28,2.0,0
33,31,2.0,0
33,26,2.0,0
43,18,2.0,0
43,48,2.0,0
43,32,2.0,0
43,26,2.0,0
47,25,2.0,0
47,27,2.0,0
47,11,2.0,0
47,46,1.0,0
47,50,1.0,0
47,42,2.0,0
18,10,2.0,0
18,7,2.0,0
18,38,2.0,0
18,22,2.0,0
25,39,2.0,0
25,30,2.0,0
25,24,2.0,0
25,28,2.0,0
25,15,2.0,0
25,38,1.0,0
25,22,2.0,0
25,26,2.0,0
39,29,1.0,0
39,3,2.0,0
27,29,2.0,0
27,28,2.0,0
27,11,2.0,0
27,46,2.0,0
27,50,2.0,0
27,38,1.0,0
27,35,2.0,0
27,23,1.0,0
29,11,2.0,0
29,15,1.0,0
29,6,2.0,0
29,35,2.0,0
29,23,2.0,0
29,42,2.0,0
14,24,2.0,0
14,36,2.0,0
14,11,2.0,0
30,36,1.0,0
30,31,2.0,0
30,15,2.0,0
30,32,2.0,0
30,6,2.0,0
30,35,2.0,0
16,36,2.0,0
16,9,1.0,0
16,11,2.0,0
16,48,2.0,0
16,50,2.0,0
16,7,2.0,0
16,15,2.0,0
16,6,2.0,0
16,23,2.0,0
16,3,2.0,0
16,45,2.0,0
24,28,2.0,0
24,48,2.0,0
24,6,2.0,0
24,2,2.0,0
36,46,2.0,0
36,10,2.0,0
36,23,2.0,0
28,9,2.0,0
28,11,2.0,0
28,3,2.0,0
9,13,1.0,0
9,50,1.0,0
9,31,2.0,0
9,32,2.0,0
9,6,2.0,0
9,35,2.0,0
9,42,1.0,0
9,26,2.0,0
11,48,2.0,0
11,31,2.0,0
11,21,2.0,0
11,26,2.0,0
48,46,2.0,0
48,44,2.0,0
13,10,2.0,0
13,7,2.0,0
13,15,2.0,0
13,3,2.0,0
13,42,2.0,0
46,32,2.0,0
46,42,2.0,0
50,3,2.0,0
50,45,2.0,0
50,42,2.0,0
10,42,2.0,0
31,7,2.0,0
31,22,2.0,0
31,23,2.0,0
31,2,1.0,0
21,2,1.0,0
7,6,2.0,0
7,35,2.0,0
7,3,2.0,0
7,2,2.0,0
44,6,2.0,0
44,45,1.0,0
44,26,2.0,0
15,22,2.0,0
15,3,2.0,0
32,38,2.0,0
32,6,2.0,0
38,6,2.0,0
38,45,2.0,0
6,42,2.0,0
35,22,2.0,0
35,2,2.0,0
35,26,2.0,0
23,2,2.0,0
3,2,2.0,0
3,26,2.0,0
45,2,2.0,0
45,26,2.0,0
41,8,2.0,1
41,40,2.0,1
41,37,2.0,1
41,19,2.0,1
41,43,2.0,1
41,27,2.0,1
41,46,2.0,1
41,44,2.0,1
41,32,2.0,1
41,35,2.0,1
41,45,2.0,1
12,4,2.0,1
12,49,2.0,1
12,14,2.0,1
12,30,2.0,1
12,16,2.0,1
12,15,2.0,1
12,35,2.0,1
12,23,2.0,1
8,40,2.0,1
8,4,1.0,1
8,34,2.0,1
8,20,2.0,1
